The Flintstones,(1994),PG,91 min,$130.51M,Brian Levant,John Goodman,Rick Moranis,Rosie O'Donnell,Halle Berry
Dumb and Dumber,(1994),PG-13,107 min,$127.18M,Peter Farrelly,Bobby Farrelly,Jim Carrey,Jeff Daniels,Lauren Holly,Mike Starr
Clear and Present Danger,(1994),PG-13,141 min,$122.01M,Phillip Noyce,Harrison Ford,Willem Dafoe,Anne Archer,Joaquim de Almeida
Speed,(1994),R,116 min,$121.25M,Jan de Bont,Keanu Reeves,Dennis Hopper,Sandra Bullock,Joe Morton
The Mask,(1994),PG-13,101 min,$119.94M,Chuck Russell,Jim Carrey,Cameron Diaz,Peter Riegert,Peter Greene
Pulp Fiction,(1994),R,154 min,$107.93M,Quentin Tarantino,John Travolta,Uma Thurman,Samuel L. Jackson,Bruce Willis
Interview with the Vampire: The Vampire Chronicles,(1994),R,123 min,$105.26M,Neil Jordan,Brad Pitt,Tom Cruise,Antonio Banderas,Kirsten Dunst
Maverick,(1994),PG,127 min,$101.63M,Richard Donner,Mel Gibson,Jodie Foster,James Garner,Graham Greene
The Client,(1994),PG-13,119 min,$92.12M,Joel Schumacher,Susan Sarandon,Tommy Lee Jones,Brad Renfro,Mary-Louise Parker
Disclosure,(1994),R,128 min,$83.00M,Barry Levinson,Michael Douglas,Demi Moore,Donald Sutherland,Caroline Goodall
Star Trek: Generations,(1994),PG,118 min,$75.67M,David Carson,Patrick Stewart,William Shatner,Malcolm McDowell,Jonathan Frakes
Ace Ventura: Pet Detective,(1994),PG-13,86 min,$72.22M,Tom Shadyac,Jim Carrey,Courteney Cox,Sean Young,Tone Loc
Stargate,(1994),PG-13,116 min,$71.57M,Roland Emmerich,Kurt Russell,James Spader,Jaye Davidson,Viveca Lindfors
Legends of the Fall,(1994),R,133 min,$66.53M,Edward Zwick,Brad Pitt,Anthony Hopkins,Aidan Quinn,Julia Ormond
Wolf,(1994),R,125 min,$65.01M,Mike Nichols,Jack Nicholson,Michelle Pfeiffer,James Spader,Kate Nelligan
The Specialist,(1994),R,110 min,$57.36M,Luis Llosa,Sylvester Stallone,Sharon Stone,James Woods,Rod Steiger
Four Weddings and a Funeral,(1994),R,117 min,$52.70M,Mike Newell,Hugh Grant,Andie MacDowell,James Fleet,Simon Callow
The Little Rascals,(1994),PG,82 min,$51.76M,Penelope Spheeris,Travis Tedford,Bug Hall,Brittany Ashton Holmes,Kevin Jamal Woods
Naked Gun 33 1/3: The Final Insult,(1994),PG-13,83 min,$51.11M,Peter Segal,Leslie Nielsen,Priscilla Presley,George Kennedy,O.J. Simpson
The Crow,(1994),R,102 min,$50.69M,Alex Proyas,Brandon Lee,Michael Wincott,Rochelle Davis,Ernie Hudson
Natural Born Killers,(1994),R,118 min,$50.28M,Oliver Stone,Woody Harrelson,Juliette Lewis,Tom Sizemore,Rodney Dangerfield
Angels in the Outfield,(1994),PG,102 min,$50.24M,William Dear,Danny Glover,Brenda Fricker,Tony Danza,Christopher Lloyd
When a Man Loves a Woman,(1994),R,126 min,$50.02M,Luis Mandoki,Meg Ryan,Andy Garcia,Ellen Burstyn,Tina Majorino
Little Women,(1994),PG,115 min,$50.00M,Gillian Armstrong,Susan Sarandon,Winona Ryder,Kirsten Dunst,Claire Danes
The River Wild,(1994),PG-13,111 min,$46.82M,Curtis Hanson,Meryl Streep,Kevin Bacon,David Strathairn,Joseph Mazzello
D2: The Mighty Ducks,(1994),PG,106 min,$45.61M,Sam Weisman,Emilio Estevez,Kathryn Erbe,Michael Tucker,Jan Rubes
Timecop,(1994),R,99 min,$44.45M,Peter Hyams,Jean-Claude Van Damme,Mia Sara,Ron Silver,Bruce McGill
The Jungle Book,(1994),PG,111 min,$44.34M,Stephen Sommers,Jason Scott Lee,Cary Elwes,Lena Headey,Sam Neill
City Slickers II: The Legend of Curly's Gold,(1994),PG-13,116 min,$43.52M,Paul Weiland,Billy Crystal,Jack Palance,Daniel Stern,Jon Lovitz
Beverly Hills Cop III,(1994),R,104 min,$42.61M,John Landis,Eddie Murphy,Jon Tenney,Joey Travolta,Eugene Collier
Nobody's Fool,(1994),R,110 min,$39.49M,Robert Benton,Paul Newman,Bruce Willis,Jessica Tandy,Melanie Griffith
The Paper,(1994),R,112 min,$38.82M,Ron Howard,Michael Keaton,Glenn Close,Robert Duvall,Marisa Tomei
On Deadly Ground,(1994),R,101 min,$38.59M,Steven Seagal,Steven Seagal,Michael Caine,Joan Chen,John C. McGinley
Ri¢hie Ri¢h,(1994),PG,95 min,$38.09M,Donald Petrie,Macaulay Culkin,Edward Herrmann,John Larroquette,Christine Ebersole
It Could Happen to You,(1994),PG,101 min,$37.80M,Andrew Bergman,Nicolas Cage,Bridget Fonda,Rosie Perez,Wendell Pierce
Junior,(1994),PG-13,109 min,$36.76M,Ivan Reitman,Arnold Schwarzenegger,Danny DeVito,Emma Thompson,Frank Langella
Nell,(1994),PG-13,112 min,$33.59M,Michael Apted,Jodie Foster,Liam Neeson,Natasha Richardson,Richard Libertini
Street Fighter,(1994),PG-13,102 min,$33.42M,Steven E. de Souza,Jean-Claude Van Damme,Raul Julia,Ming-Na Wen,Damian Chapa
Léon: The Professional,(1994),R,110 min,$32.35M,Luc Besson,Jean Reno,Gary Oldman,Natalie Portman,Danny Aiello
The Shadow,(1994),PG-13,108 min,$32.06M,Russell Mulcahy,Alec Baldwin,John Lone,Penelope Ann Miller,Peter Boyle
I Love Trouble,(1994),PG,123 min,$30.81M,Charles Shyer,Nick Nolte,Julia Roberts,Saul Rubinek,James Rebhorn
Major League II,(1994),PG,105 min,$30.63M,David S. Ward,Charlie Sheen,Tom Berenger,Corbin Bernsen,Dennis Haysbert
Blank Check,(1994),PG,93 min,$30.58M,Rupert Wainwright,Brian Bonsall,Karen Duffy,James Rebhorn,Jayne Atkinson
Blown Away,(1994),R,121 min,$30.16M,Stephen Hopkins,Jeff Bridges,Tommy Lee Jones,Suzy Amis,Lloyd Bridges
A Low Down Dirty Shame,(1994),R,100 min,$29.39M,Keenen Ivory Wayans,Keenen Ivory Wayans,Charles S. Dutton,Jada Pinkett Smith,Salli Richardson-Whitfield
In the Army Now,(1994),PG,91 min,$28.86M,Daniel Petrie Jr.,Pauly Shore,Lori Petty,Andy Dick,David Alan Grier
Toy Story,(1995),G,81 min,$191.80M,John Lasseter,Tom Hanks,Tim Allen,Don Rickles,Jim Varney
Batman Forever,(1995),PG-13,121 min,$184.03M,Joel Schumacher,Val Kilmer,Tommy Lee Jones,Jim Carrey,Nicole Kidman
Apollo 13,(I) (1995),PG,140 min,$172.07M,Ron Howard,Tom Hanks,Bill Paxton,Kevin Bacon,Gary Sinise
Pocahontas,(I) (1995),G,81 min,$141.60M,Mike Gabriel,Eric Goldberg,Mel Gibson,Linda Hunt,Christian Bale,Joe Baker
Ace Ventura: When Nature Calls,(1995),PG-13,90 min,$108.36M,Steve Oedekerk,Jim Carrey,Ian McNeice,Simon Callow,Maynard Eziashi
GoldenEye,(1995),PG-13,130 min,$106.64M,Martin Campbell,Pierce Brosnan,Sean Bean,Izabella Scorupco,Famke Janssen
Casper,(1995),PG,100 min,$100.33M,Brad Silberling,Bill Pullman,Christina Ricci,Cathy Moriarty,Eric Idle
Jumanji,(1995),PG,104 min,$100.20M,Joe Johnston,Robin Williams,Kirsten Dunst,Bonnie Hunt,Jonathan Hyde
Se7en,(1995),R,127 min,$100.13M,David Fincher,Morgan Freeman,Brad Pitt,Kevin Spacey,Andrew Kevin Walker
Die Hard with a Vengeance,(1995),R,128 min,$100.01M,John McTiernan,Bruce Willis,Jeremy Irons,Samuel L. Jackson,Graham Greene
Crimson Tide,(1995),R,116 min,$91.40M,Tony Scott,Gene Hackman,Denzel Washington,Matt Craven,George Dzundza
Waterworld,(1995),PG-13,135 min,$88.25M,Kevin Reynolds,Kevin Costner,Jeanne Tripplehorn,Dennis Hopper,Tina Majorino
Dangerous Minds,(1995),R,99 min,$84.92M,John N. Smith,Michelle Pfeiffer,George Dzundza,Courtney B. Vance,Robin Bartlett
Mr. Holland's Opus,(1995),PG,143 min,$82.53M,Stephen Herek,Richard Dreyfuss,Glenne Headly,Jay Thomas,Olympia Dukakis
While You Were Sleeping,(1995),PG,103 min,$81.06M,Jon Turteltaub,Sandra Bullock,Bill Pullman,Peter Gallagher,Peter Boyle
Congo,(1995),PG-13,109 min,$81.02M,Frank Marshall,Laura Linney,Tim Curry,Dylan Walsh,Ernie Hudson
Father of the Bride Part II,(1995),PG,106 min,$76.59M,Charles Shyer,Steve Martin,Diane Keaton,Martin Short,Kimberly Williams-Paisley
Braveheart,(1995),R,178 min,$75.60M,Mel Gibson,Mel Gibson,Sophie Marceau,Patrick McGoohan,Angus Macfadyen
Get Shorty,(1995),R,105 min,$72.08M,Barry Sonnenfeld,Gene Hackman,Rene Russo,Danny DeVito,John Travolta
The Bridges of Madison County,(1995),PG-13,135 min,$70.96M,Clint Eastwood,Clint Eastwood,Meryl Streep,Annie Corley,Victor Slezak
Mortal Kombat,(1995),PG-13,101 min,$70.36M,Paul W.S. Anderson,Christopher Lambert,Robin Shou,Linden Ashby,Cary-Hiroyuki Tagawa
Grumpier Old Men,(1995),PG-13,101 min,$69.87M,Howard Deutch,Walter Matthau,Jack Lemmon,Ann-Margret,Sophia Loren
Nine Months,(1995),PG-13,103 min,$69.70M,Chris Columbus,Hugh Grant,Julianne Moore,Tom Arnold,Joan Cusack
Outbreak,(1995),R,127 min,$67.82M,Wolfgang Petersen,Dustin Hoffman,Rene Russo,Morgan Freeman,Kevin Spacey
Heat,(1995),R,170 min,$67.44M,Michael Mann,Al Pacino,Robert De Niro,Val Kilmer,Jon Voight
Babe,(1995),G,91 min,$66.60M,Chris Noonan,James Cromwell,Magda Szubanski,Christine Cavanaugh,Miriam Margolyes
Waiting to Exhale,(1995),R,124 min,$66.22M,Forest Whitaker,Whitney Houston,Angela Bassett,Loretta Devine,Lela Rochon
Bad Boys,(1995),R,119 min,$65.81M,Michael Bay,Will Smith,Martin Lawrence,Lisa Boyle,Michael Taliferro
The American President,(1995),PG-13,114 min,$65.00M,Rob Reiner,Michael Douglas,Annette Bening,Martin Sheen,Michael J. Fox
Species,(1995),R,108 min,$60.05M,Roger Donaldson,Natasha Henstridge,Michael Madsen,Ben Kingsley,Alfred Molina
Twelve Monkeys,(1995),R,129 min,$56.88M,Terry Gilliam,Bruce Willis,Madeleine Stowe,Brad Pitt,Joseph Melito
Clueless,(1995),PG-13,97 min,$56.63M,Amy Heckerling,Alicia Silverstone,Stacey Dash,Brittany Murphy,Paul Rudd
Sabrina,(1995),PG,127 min,$53.46M,Sydney Pollack,Harrison Ford,Julia Ormond,Greg Kinnear,Nancy Marchand
Something to Talk About,(1995),R,106 min,$50.89M,Lasse Hallström,Julia Roberts,Dennis Quaid,Robert Duvall,Gena Rowlands
The Net,(1995),PG-13,114 min,$50.73M,Irwin Winkler,Sandra Bullock,Jeremy Northam,Dennis Miller,Diane Baker
Under Siege 2: Dark Territory,(1995),R,100 min,$50.02M,Geoff Murphy,Steven Seagal,Eric Bogosian,Everett McGill,Katherine Heigl
A Walk in the Clouds,(1995),PG-13,102 min,$50.01M,Alfonso Arau,Keanu Reeves,Aitana Sánchez-Gijón,Anthony Quinn,Giancarlo Giannini
The Brady Bunch Movie,(1995),PG-13,90 min,$46.58M,Betty Thomas,Shelley Long,Gary Cole,Christine Taylor,Christopher Daniel Barnes
Sense and Sensibility,(1995),PG,136 min,$42.70M,Ang Lee,Emma Thompson,Kate Winslet,James Fleet,Tom Wilkinson
Casino,(1995),R,178 min,$42.44M,Martin Scorsese,Robert De Niro,Sharon Stone,Joe Pesci,James Woods
Man of the House,(1995),PG,96 min,$40.07M,James Orr,Chevy Chase,Farrah Fawcett,Jonathan Taylor Thomas,George Wendt
Dead Man Walking,(1995),R,122 min,$39.03M,Tim Robbins,Susan Sarandon,Sean Penn,Robert Prosky,Raymond J. Barry
French Kiss,(1995),PG-13,111 min,$38.90M,Lawrence Kasdan,Meg Ryan,Kevin Kline,Timothy Hutton,Jean Reno
Higher Learning,(1995),R,127 min,$38.29M,John Singleton,Omar Epps,Kristy Swanson,Michael Rapaport,Jennifer Connelly
Mighty Morphin Power Rangers: The Movie,(1995),PG,95 min,$37.80M,Bryan Spicer,Karan Ashley,Johnny Yong Bosch,Steve Cardenas,Jason David Frank
First Knight,(1995),PG-13,134 min,$37.60M,Jerry Zucker,Sean Connery,Richard Gere,Julia Ormond,Ben Cross
Just Cause,(1995),R,102 min,$36.85M,Arne Glimcher,Sean Connery,Laurence Fishburne,Kate Capshaw,Blair Underwood
"To Wong Foo Thanks for Everything, Julie Newmar",(1995),PG-13,109 min,$36.48M,Beeban Kidron,Wesley Snipes,Patrick Swayze,John Leguizamo,Stockard Channing
The Indian in the Cupboard,(1995),PG,96 min,$35.62M,Frank Oz,Hal Scardino,Litefoot,Lindsay Crouse,Richard Jenkins
A Goofy Movie,(1995),G,78 min,$35.35M,Kevin Lima,Bill Farmer,Jason Marsden,Jim Cummings,Kellie Martin
Independence Day,(1996),PG-13,145 min,$306.12M,Roland Emmerich,Will Smith,Bill Pullman,Jeff Goldblum,Mary McDonnell
Twister,(1996),PG-13,113 min,$241.69M,Jan de Bont,Helen Hunt,Bill Paxton,Cary Elwes,Jami Gertz
Mission: Impossible,(1996),PG-13,110 min,$180.97M,Brian De Palma,Tom Cruise,Jon Voight,Emmanuelle Béart,Henry Czerny
Jerry Maguire,(1996),R,139 min,$153.62M,Cameron Crowe,Tom Cruise,Cuba Gooding Jr.,Renée Zellweger,Kelly Preston
Ransom,(1996),R,121 min,$136.45M,Ron Howard,Mel Gibson,Gary Sinise,Rene Russo,Brawley Nolte
101 Dalmatians,(1996),G,103 min,$136.18M,Stephen Herek,Glenn Close,Jeff Daniels,Joely Richardson,Joan Plowright
The Rock,(1996),R,136 min,$134.01M,Michael Bay,Sean Connery,Nicolas Cage,Ed Harris,John Spencer
The Nutty Professor,(1996),PG-13,95 min,$128.77M,Tom Shadyac,Eddie Murphy,Jada Pinkett Smith,James Coburn,Larry Miller
The Birdcage,(1996),R,117 min,$123.99M,Mike Nichols,Robin Williams,Nathan Lane,Gene Hackman,Dianne Wiest
A Time to Kill,(1996),R,149 min,$108.71M,Joel Schumacher,Matthew McConaughey,Sandra Bullock,Samuel L. Jackson,Kevin Spacey
The First Wives Club,(1996),PG,103 min,$105.44M,Hugh Wilson,Goldie Hawn,Bette Midler,Diane Keaton,Maggie Smith
Phenomenon,(1996),PG,123 min,$104.63M,Jon Turteltaub,John Travolta,Kyra Sedgwick,Forest Whitaker,Robert Duvall
Scream,(1996),R,111 min,$103.00M,Wes Craven,Neve Campbell,Courteney Cox,David Arquette,Skeet Ulrich
Eraser,(1996),R,115 min,$101.23M,Chuck Russell,Arnold Schwarzenegger,Vanessa Williams,James Caan,James Coburn
The Hunchback of Notre Dame,(1996),G,91 min,$100.12M,Gary Trousdale,Kirk Wise,Demi Moore,Jason Alexander,Mary Kay Bergman,Corey Burton
Michael,(1996),PG,105 min,$95.35M,Nora Ephron,John Travolta,Andie MacDowell,William Hurt,Bob Hoskins
Star Trek: First Contact,(1996),PG-13,111 min,$92.00M,Jonathan Frakes,Patrick Stewart,Jonathan Frakes,Brent Spiner,LeVar Burton
Space Jam,(1996),PG,88 min,$90.44M,Joe Pytka,Michael Jordan,Wayne Knight,Theresa Randle,Manner Washington
The English Patient,(1996),R,162 min,$78.65M,Anthony Minghella,Ralph Fiennes,Juliette Binoche,Willem Dafoe,Kristin Scott Thomas
Broken Arrow,(1996),R,108 min,$70.45M,John Woo,John Travolta,Christian Slater,Samantha Mathis,Delroy Lindo
Executive Decision,(1996),R,133 min,$68.75M,Stuart Baird,Kurt Russell,Halle Berry,Steven Seagal,John Leguizamo
Beavis and Butt-Head Do America,(1996),PG-13,81 min,$63.07M,Mike Judge,Mike de Seve,Brian Mulroney,Yvette Kaplan,Mike Judge,Bruce Willis,Demi Moore,Cloris Leachman
Jingle All the Way,(1996),PG,89 min,$60.57M,Brian Levant,Arnold Schwarzenegger,Sinbad,Phil Hartman,Rita Wilson
The Cable Guy,(1996),PG-13,96 min,$60.15M,Ben Stiller,Jim Carrey,Matthew Broderick,Leslie Mann,Jack Black
Courage Under Fire,(1996),R,116 min,$58.92M,Edward Zwick,Denzel Washington,Meg Ryan,Lou Diamond Phillips,Michael Moriarty
Jack,(1996),PG-13,113 min,$58.59M,Francis Ford Coppola,Robin Williams,Diane Lane,Brian Kerwin,Jennifer Lopez
Primal Fear,(1996),R,129 min,$56.06M,Gregory Hoblit,Richard Gere,Laura Linney,Edward Norton,John Mahoney
Tin Cup,(1996),R,135 min,$53.85M,Ron Shelton,Kevin Costner,Rene Russo,Don Johnson,Cheech Marin
Sleepers,(1996),R,147 min,$53.30M,Barry Levinson,Robert De Niro,Kevin Bacon,Brad Pitt,Jason Patric
Eye for an Eye,(1996),R,101 min,$53.15M,John Schlesinger,Sally Field,Kiefer Sutherland,Ed Harris,Olivia Burnette
DragonHeart,(1996),PG-13,103 min,$51.32M,Rob Cohen,Dennis Quaid,Sean Connery,Dina Meyer,Pete Postlethwaite
Up Close & Personal,(1996),PG-13,124 min,$51.05M,Jon Avnet,Robert Redford,Michelle Pfeiffer,Stockard Channing,Joe Mantegna
Evita,(1996),PG,135 min,$49.99M,Alan Parker,Madonna,Jonathan Pryce,Antonio Banderas,Jimmy Nail
Homeward Bound II: Lost in San Francisco,(1996),G,89 min,$49.14M,David R. Ellis,Michael J. Fox,Sally Field,Ralph Waite,Al Michaels
The Preacher's Wife,(1996),PG,123 min,$48.09M,Penny Marshall,Denzel Washington,Whitney Houston,Courtney B. Vance,Gregory Hines
Romeo + Juliet,(1996),PG-13,120 min,$46.34M,Baz Luhrmann,Leonardo DiCaprio,Claire Danes,John Leguizamo,Harold Perrineau
One Fine Day,(1996),PG,108 min,$46.11M,Michael Hoffman,Michelle Pfeiffer,George Clooney,Mae Whitman,Alex D. Linz
The Juror,(1996),R,118 min,$44.83M,Brian Gibson,Demi Moore,Alec Baldwin,Joseph Gordon-Levitt,James Gandolfini
The Mirror Has Two Faces,(1996),PG-13,126 min,$41.25M,Barbra Streisand,Barbra Streisand,Jeff Bridges,Lauren Bacall,George Segal
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,(1996),R,89 min,$39.26M,Paris Barclay,Shawn Wayans,Marlon Wayans,Keenen Ivory Wayans,Tracey Cherelle Jones
Happy Gilmore,(1996),PG-13,92 min,$38.62M,Dennis Dugan,Adam Sandler,Christopher McDonald,Julie Bowen,Frances Bay
The Ghost and the Darkness,(1996),R,110 min,$38.55M,Stephen Hopkins,Michael Douglas,Val Kilmer,Tom Wilkinson,John Kani
Bed of Roses,(1996),PG,87 min,$37.91M,Michael Goldenberg,Christian Slater,Mary Stuart Masterson,Pamela Adlon,Josh Brolin
Mars Attacks!,(1996),PG-13,106 min,$37.75M,Tim Burton,Jack Nicholson,Pierce Brosnan,Sarah Jessica Parker,Annette Bening
Set It Off,(1996),R,123 min,$36.05M,F. Gary Gray,Jada Pinkett Smith,Queen Latifah,Vivica A. Fox,Kimberly Elise
Shine,(1996),PG-13,105 min,$35.81M,Scott Hicks,Geoffrey Rush,Armin Mueller-Stahl,Justin Braine,Sonia Todd
A Thin Line Between Love and Hate,(1996),R,108 min,$34.75M,Martin Lawrence,Martin Lawrence,Lynn Whitfield,Regina King,Bobby Brown
The Truth About Cats & Dogs,(1996),PG-13,97 min,$34.07M,Michael Lehmann,Uma Thurman,Janeane Garofalo,Ben Chaplin,Jamie Foxx
Muppet Treasure Island,(1996),G,99 min,$33.61M,Brian Henson,David Lane,Tim Curry,Billy Connolly,Jennifer Saunders,Kevin Bishop
The Long Kiss Goodnight,(1996),R,121 min,$33.33M,Renny Harlin,Geena Davis,Samuel L. Jackson,Yvonne Zima,Craig Bierko
Titanic,(1997),PG-13,194 min,$658.67M,James Cameron,Leonardo DiCaprio,Kate Winslet,Billy Zane,Kathy Bates
Men in Black,(1997),PG-13,98 min,$250.15M,Barry Sonnenfeld,Tommy Lee Jones,Will Smith,Linda Fiorentino,Vincent D'Onofrio
The Lost World: Jurassic Park,(1997),PG-13,129 min,$229.07M,Steven Spielberg,Jeff Goldblum,Julianne Moore,Pete Postlethwaite,Vince Vaughn
Liar Liar,(1997),PG-13,86 min,$181.40M,Tom Shadyac,Jim Carrey,Maura Tierney,Justin Cooper,Cary Elwes
Air Force One,(1997),R,124 min,$172.62M,Wolfgang Petersen,Harrison Ford,Gary Oldman,Glenn Close,Wendy Crewson
As Good as It Gets,(1997),PG-13,139 min,$147.64M,James L. Brooks,Jack Nicholson,Helen Hunt,Greg Kinnear,Cuba Gooding Jr.
Good Will Hunting,(1997),R,126 min,$138.34M,Gus Van Sant,Robin Williams,Matt Damon,Ben Affleck,Stellan Skarsgård
My Best Friend's Wedding,(1997),PG-13,105 min,$126.81M,P.J. Hogan,Julia Roberts,Dermot Mulroney,Cameron Diaz,Rupert Everett
Tomorrow Never Dies,(1997),PG-13,119 min,$125.33M,Roger Spottiswoode,Pierce Brosnan,Jonathan Pryce,Michelle Yeoh,Teri Hatcher
Face/Off,(1997),R,138 min,$112.23M,John Woo,John Travolta,Nicolas Cage,Joan Allen,Alessandro Nivola
Batman & Robin,(1997),PG-13,125 min,$107.29M,Joel Schumacher,Arnold Schwarzenegger,George Clooney,Chris O'Donnell,Uma Thurman
George of the Jungle,(1997),PG,92 min,$105.26M,Sam Weisman,Brendan Fraser,Leslie Mann,Thomas Haden Church,Richard Roundtree
Scream 2,(1997),R,120 min,$101.33M,Wes Craven,Neve Campbell,Courteney Cox,David Arquette,Jada Pinkett Smith
Con Air,(1997),R,115 min,$101.09M,Simon West,Nicolas Cage,John Cusack,John Malkovich,Colm Meaney
Contact,(1997),PG,150 min,$100.85M,Robert Zemeckis,Jodie Foster,Matthew McConaughey,Tom Skerritt,John Hurt
Hercules,(1997),G,93 min,$99.05M,Ron Clements,John Musker,Tate Donovan,Susan Egan,James Woods,Josh Keaton
Flubber,(1997),PG,93 min,$92.97M,Les Mayfield,Robin Williams,Marcia Gay Harden,Christopher McDonald,Ted Levine
Conspiracy Theory,(1997),R,135 min,$76.08M,Richard Donner,Mel Gibson,Julia Roberts,Patrick Stewart,Cylk Cozart
I Know What You Did Last Summer,(1997),R,101 min,$72.22M,Jim Gillespie,Jennifer Love Hewitt,Sarah Michelle Gellar,Anne Heche,Ryan Phillippe
Dante's Peak,(1997),PG-13,108 min,$67.16M,Roger Donaldson,Pierce Brosnan,Linda Hamilton,Jamie Renée Smith,Jeremy Foley
Anaconda,(1997),PG-13,89 min,$65.56M,Luis Llosa,Jon Voight,Jennifer Lopez,Eric Stoltz,Ice Cube
L.A. Confidential,(1997),R,138 min,$64.60M,Curtis Hanson,Kevin Spacey,Russell Crowe,Guy Pearce,Kim Basinger
In & Out,(1997),PG-13,90 min,$63.83M,Frank Oz,Kevin Kline,Joan Cusack,Tom Selleck,Matt Dillon
The Fifth Element,(1997),PG-13,126 min,$63.54M,Luc Besson,Bruce Willis,Milla Jovovich,Gary Oldman,Ian Holm
Mousehunt,(1997),PG,98 min,$61.83M,Gore Verbinski,Nathan Lane,Lee Evans,Vicki Lewis,Maury Chaykin
The Saint,(1997),PG-13,116 min,$61.36M,Phillip Noyce,Val Kilmer,Elisabeth Shue,Rade Serbedzija,Valeriy Nikolaev
The Devil's Advocate,(1997),R,144 min,$60.98M,Taylor Hackford,Keanu Reeves,Al Pacino,Charlize Theron,Jeffrey Jones
Kiss the Girls,(1997),R,115 min,$60.49M,Gary Fleder,Morgan Freeman,Ashley Judd,Cary Elwes,Alex McArthur
Jungle 2 Jungle,(1997),PG,105 min,$59.93M,John Pasquin,Tim Allen,Martin Short,JoBeth Williams,Lolita Davidovich
Anastasia,(1997),G,94 min,$58.30M,Don Bluth,Gary Goldman,Meg Ryan,John Cusack,Christopher Lloyd,Kelsey Grammer
Life Is Beautiful,(1997),PG-13,116 min,$57.60M,Roberto Benigni,Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini,Giustino Durano
Spawn,(1997),R,96 min,$54.97M,Mark A.Z. Dippé,John Leguizamo,Michael Jai White,Martin Sheen,Theresa Randle
The Jackal,(1997),R,124 min,$54.91M,Michael Caton-Jones,Bruce Willis,Richard Gere,Sidney Poitier,Diane Venora
Starship Troopers,(1997),R,129 min,$54.70M,Paul Verhoeven,Casper Van Dien,Denise Richards,Dina Meyer,Jake Busey
Austin Powers: International Man of Mystery,(1997),PG-13,89 min,$53.87M,Jay Roach,Mike Myers,Elizabeth Hurley,Michael York,Mimi Rogers
Breakdown,(I) (1997),R,93 min,$50.13M,Jonathan Mostow,Kurt Russell,J.T. Walsh,Kathleen Quinlan,M.C. Gainey
Absolute Power,(1997),R,121 min,$50.01M,Clint Eastwood,Clint Eastwood,Gene Hackman,Ed Harris,Laura Linney
The Game,(1997),R,129 min,$48.27M,David Fincher,Michael Douglas,Deborah Kara Unger,Sean Penn,James Rebhorn
G.I. Jane,(1997),R,125 min,$48.15M,Ridley Scott,Demi Moore,Viggo Mortensen,Anne Bancroft,Jason Beghe
Speed 2: Cruise Control,(1997),PG-13,121 min,$48.07M,Jan de Bont,Sandra Bullock,Jason Patric,Willem Dafoe,Temuera Morrison
Alien: Resurrection,(1997),R,109 min,$47.75M,Jean-Pierre Jeunet,Sigourney Weaver,Winona Ryder,Dominique Pinon,Ron Perlman
Volcano,(1997),PG-13,104 min,$47.47M,Mick Jackson,Tommy Lee Jones,Anne Heche,Gaby Hoffmann,Don Cheadle
The Full Monty,(1997),R,91 min,$45.86M,Peter Cattaneo,Robert Carlyle,Tom Wilkinson,Mark Addy,William Snape
The Rainmaker,(1997),PG-13,135 min,$45.86M,Francis Ford Coppola,Matt Damon,Danny DeVito,Claire Danes,Jon Voight
Bean,(1997),PG-13,89 min,$45.30M,Mel Smith,Rowan Atkinson,Peter MacNicol,John Mills,Pamela Reed
Cop Land,(1997),R,105 min,$44.89M,James Mangold,Sylvester Stallone,Harvey Keitel,Ray Liotta,Robert De Niro
Nothing to Lose,(1997),R,98 min,$44.46M,Steve Oedekerk,Martin Lawrence,Tim Robbins,John C. McGinley,Giancarlo Esposito
Amistad,(1997),R,155 min,$44.18M,Steven Spielberg,Djimon Hounsou,Matthew McConaughey,Anthony Hopkins,Morgan Freeman
Soul Food,(1997),R,115 min,$43.49M,George Tillman Jr.,Vanessa Williams,Vivica A. Fox,Nia Long,Michael Beach
Wag the Dog,(1997),R,97 min,$43.02M,Barry Levinson,Dustin Hoffman,Robert De Niro,Anne Heche,Denis Leary
Saving Private Ryan,(1998),R,169 min,$216.12M,Steven Spielberg,Tom Hanks,Matt Damon,Tom Sizemore,Edward Burns
Armageddon,(1998),PG-13,151 min,$201.57M,Michael Bay,Bruce Willis,Billy Bob Thornton,Ben Affleck,Liv Tyler
There's Something About Mary,(1998),R,119 min,$176.48M,Bobby Farrelly,Peter Farrelly,Ben Stiller,Cameron Diaz,Matt Dillon,Lee Evans
A Bug's Life,(1998),G,95 min,$162.79M,John Lasseter,Andrew Stanton,Kevin Spacey,Dave Foley,Julia Louis-Dreyfus,Hayden Panettiere
The Waterboy,(1998),PG-13,90 min,$161.49M,Frank Coraci,Adam Sandler,Kathy Bates,Henry Winkler,Fairuza Balk
Doctor Dolittle,(1998),PG-13,85 min,$144.16M,Betty Thomas,Eddie Murphy,Peter Boyle,Ossie Davis,Oliver Platt
Rush Hour,(1998),PG-13,98 min,$141.15M,Brett Ratner,Jackie Chan,Chris Tucker,Ken Leung,Tom Wilkinson
Deep Impact,(1998),PG-13,120 min,$140.46M,Mimi Leder,Robert Duvall,Téa Leoni,Elijah Wood,Morgan Freeman
