Internal Affairs,(1990),R,115 min,$27.73M,Mike Figgis,Richard Gere,Andy Garcia,Nancy Travis,Laurie Metcalf
Cadillac Man,(1990),R,97 min,$27.63M,Roger Donaldson,Robin Williams,Tim Robbins,Pamela Reed,Fran Drescher
Memphis Belle,(1990),PG-13,107 min,$27.44M,Michael Caton-Jones,Matthew Modine,Eric Stoltz,Tate Donovan,D.B. Sweeney
House Party,(1990),R,100 min,$26.39M,Reginald Hudlin,Christopher Reid,Robin Harris,Christopher Martin,Martin Lawrence
Jacob's Ladder,(I) (1990),R,113 min,$26.12M,Adrian Lyne,Tim Robbins,Elizabeth Peña,Danny Aiello,Matt Craven
The Exorcist III,(1990),R,110 min,$26.10M,William Peter Blatty,George C. Scott,Ed Flanders,Brad Dourif,Jason Miller
Navy Seals,(1990),R,113 min,$25.07M,Lewis Teague,Charlie Sheen,Michael Biehn,Joanne Whalley,Rick Rossovich
Ernest Goes to Jail,(1990),PG,81 min,$25.03M,John R. Cherry III,Jim Varney,Gailard Sartain,Bill Byrge,Barbara Tyson
Ghost Dad,(1990),PG,83 min,$24.71M,Sidney Poitier,Bill Cosby,Kimberly Russell,Denise Nicholas,Ian Bannen
Beauty and the Beast,(1991),G,84 min,$218.97M,Gary Trousdale,Kirk Wise,Paige O'Hara,Robby Benson,Jesse Corti,Rex Everhart
Terminator 2: Judgment Day,(1991),R,137 min,$204.84M,James Cameron,Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,Robert Patrick
Robin Hood: Prince of Thieves,(1991),PG-13,143 min,$165.50M,Kevin Reynolds,Kevin Costner,Morgan Freeman,Mary Elizabeth Mastrantonio,Christian Slater
The Silence of the Lambs,(1991),R,118 min,$130.73M,Jonathan Demme,Jodie Foster,Anthony Hopkins,Lawrence A. Bonney,Kasi Lemmons
City Slickers,(1991),PG-13,113 min,$124.03M,Ron Underwood,Billy Crystal,Jack Palance,Daniel Stern,Bruno Kirby
Hook,(1991),PG,142 min,$119.65M,Steven Spielberg,Dustin Hoffman,Robin Williams,Julia Roberts,Bob Hoskins
The Addams Family,(1991),PG-13,99 min,$113.50M,Barry Sonnenfeld,Anjelica Huston,Raul Julia,Christopher Lloyd,Dan Hedaya
Sleeping with the Enemy,(1991),R,99 min,$101.58M,Joseph Ruben,Julia Roberts,Patrick Bergin,Kevin Anderson,Elizabeth Lawrence
Father of the Bride,(1991),PG,105 min,$89.33M,Charles Shyer,Steve Martin,Diane Keaton,Martin Short,Kimberly Williams-Paisley
The Naked Gun 2½: The Smell of Fear,(1991),PG-13,85 min,$86.93M,David Zucker,Leslie Nielsen,Priscilla Presley,George Kennedy,O.J. Simpson
Fried Green Tomatoes,(1991),PG-13,130 min,$80.10M,Jon Avnet,Kathy Bates,Jessica Tandy,Mary Stuart Masterson,Mary-Louise Parker
Cape Fear,(1991),R,128 min,$79.10M,Martin Scorsese,Robert De Niro,Nick Nolte,Jessica Lange,Juliette Lewis
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,(1991),PG,88 min,$78.66M,Michael Pressman,Paige Turco,David Warner,Michelan Sisti,Leif Tilden
Backdraft,(1991),R,137 min,$77.87M,Ron Howard,Kurt Russell,William Baldwin,Robert De Niro,Donald Sutherland
Star Trek VI: The Undiscovered Country,(1991),PG,113 min,$74.89M,Nicholas Meyer,William Shatner,Leonard Nimoy,DeForest Kelley,James Doohan
The Prince of Tides,(1991),R,132 min,$74.79M,Barbra Streisand,Barbra Streisand,Nick Nolte,Blythe Danner,Kate Nelligan
JFK,(1991),R,189 min,$70.41M,Oliver Stone,Kevin Costner,Gary Oldman,Jack Lemmon,Walter Matthau
Hot Shots!,(1991),PG-13,84 min,$69.47M,Jim Abrahams,Charlie Sheen,Cary Elwes,Valeria Golino,Lloyd Bridges
What About Bob?,(1991),PG,99 min,$63.71M,Frank Oz,Bill Murray,Richard Dreyfuss,Julie Hagerty,Charlie Korsmo
My Girl,(1991),PG-13,102 min,$59.85M,Howard Zieff,Anna Chlumsky,Macaulay Culkin,Dan Aykroyd,Jamie Lee Curtis
The Last Boy Scout,(1991),R,105 min,$59.51M,Tony Scott,Bruce Willis,Damon Wayans,Chelsea Field,Noble Willingham
Boyz n the Hood,(1991),R,112 min,$57.50M,John Singleton,Cuba Gooding Jr.,Laurence Fishburne,Hudhail Al-Amir,Lloyd Avery II
Doc Hollywood,(1991),PG-13,104 min,$54.83M,Michael Caton-Jones,Michael J. Fox,Julie Warner,Barnard Hughes,Woody Harrelson
Bugsy,(1991),R,136 min,$49.11M,Barry Levinson,Warren Beatty,Annette Bening,Harvey Keitel,Ben Kingsley
New Jack City,(1991),R,97 min,$47.62M,Mario Van Peebles,Wesley Snipes,Ice-T,Allen Payne,Chris Rock
The Rocketeer,(1991),PG,108 min,$46.70M,Joe Johnston,Billy Campbell,Jennifer Connelly,Alan Arkin,Timothy Dalton
Thelma & Louise,(1991),R,130 min,$45.36M,Ridley Scott,Susan Sarandon,Geena Davis,Harvey Keitel,Michael Madsen
Point Break,(1991),R,122 min,$43.22M,Kathryn Bigelow,Patrick Swayze,Keanu Reeves,Gary Busey,Lori Petty
Regarding Henry,(1991),PG-13,108 min,$43.00M,Mike Nichols,Harrison Ford,Annette Bening,Michael Haley,Stanley Swerdlow
The Fisher King,(1991),R,137 min,$41.90M,Terry Gilliam,Jeff Bridges,Robin Williams,Adam Bryant,Paul Lombardi
Out for Justice,(1991),R,91 min,$39.67M,John Flynn,Steven Seagal,William Forsythe,Jerry Orbach,Jo Champa
